c n x y
PV Emission_costs 0 W+IMin+POD+FC
PV LCOE 0.2507370114804178 W+IMin+POD+FC
ST Invest 62.95495632644522 W+IMin+POD+FC
ST Fuel 0 W+IMin+POD+FC
ST Maint 8.63013698630137 W+IMin+POD+FC
ST Certificates 0 W+IMin+POD+FC
ST Grid_Tariffs 0 W+IMin+POD+FC
ST Emission_costs 0 W+IMin+POD+FC
ST LCOE 0.4227549359992122 W+IMin+POD+FC
ElGrid Invest 0 W+IMin+POD+FC
ElGrid Fuel 0 W+IMin+POD+FC
ElGrid Maint 0 W+IMin+POD+FC
ElGrid Certificates 0 W+IMin+POD+FC
ElGrid Grid_Tariffs 0 W+IMin+POD+FC
ElGrid Emission_costs 0 W+IMin+POD+FC
ElGrid LCOE 4.780712379027579 W+IMin+POD+FC
DH Invest 0 W+IMin+POD+FC
DH Fuel 0 W+IMin+POD+FC
DH Maint 0 W+IMin+POD+FC
DH Certificates 0 W+IMin+POD+FC
DH Grid_Tariffs 0 W+IMin+POD+FC
DH Emission_costs 0 W+IMin+POD+FC
DH LCOE 0.04247198264878019 W+IMin+POD+FC
Total Invest 358.535 S+IMin+POD+BIO
Total Fuel 713.032 S+IMin+POD+BIO
Total Maint 35.26 S+IMin+POD+BIO
Total Import 526.836 S+IMin+POD+BIO
Total Export 0.0 S+IMin+POD+BIO
Total Certificates 4.217 S+IMin+POD+BIO
Total DH 7.192 S+IMin+POD+BIO
Total Grid_Tariffs 207.794 S+IMin+POD+BIO
Total Emission_costs 0.0 S+IMin+POD+BIO
Total Total_cost 1590.402 S+IMin+POD+BIO
Total Emissions 133440.835 S+IMin+POD+BIO
Total LCOE 0.0 S+IMin+POD+BIO
Power1 Invest 0.0 S+IMin+POD+BIO
Power1 Fuel 713.0317490302162 S+IMin+POD+BIO
Power1 Maint 0.0 S+IMin+POD+BIO
Power1 Certificates 0 S+IMin+POD+BIO
Power1 Grid_Tariffs 0 S+IMin+POD+BIO
Power1 Emission_costs 0 S+IMin+POD+BIO
Power1 LCOE 0.05316323959450231 S+IMin+POD+BIO
Power2 Invest 0.0 S+IMin+POD+BIO
Power2 Fuel 0.0 S+IMin+POD+BIO
Power2 Maint 0.0 S+IMin+POD+BIO
Power2 Certificates 0 S+IMin+POD+BIO
Power2 Grid_Tariffs 0 S+IMin+POD+BIO
Power2 Emission_costs 0 S+IMin+POD+BIO
Power2 LCOE 0.0 S+IMin+POD+BIO
Heat1 Invest 0.0 S+IMin+POD+BIO
Heat1 Fuel 0.0 S+IMin+POD+BIO
Heat1 Maint 0.0 S+IMin+POD+BIO
Heat1 Certificates 0 S+IMin+POD+BIO
Heat1 Grid_Tariffs 0 S+IMin+POD+BIO
Heat1 Emission_costs 0 S+IMin+POD+BIO
Heat1 LCOE 0.0 S+IMin+POD+BIO
PV Invest 41.55027117545384 S+IMin+POD+BIO
PV Fuel 0 S+IMin+POD+BIO
PV Maint 26.63013698630137 S+IMin+POD+BIO
